ENZYME_TYPE,HIDROPHOBICITY,ISOELECTRIC,AROMATIC,INSTABLE,MW,HELIX,TURN,SHEET,MOL_EXT_RED,MOL_EXT_OX
SHV beta-lactamase,-0.04090909090909084,7.756101036071779,0.045454545454545456,38.524125874125865,31202.610300000033,0.2902097902097902,0.19930069930069927,0.3356643356643357,33460,33585
CTX-M beta-lactamase,-0.14398625429553258,9.094828987121584,0.048109965635738834,21.231615120274903,31029.078200000025,0.2542955326460481,0.21305841924398625,0.3127147766323024,25440,25565
ACT beta-lactamase,-0.044094488188976336,8.537886619567871,0.09186351706036745,33.464593175853,41339.209900000016,0.30708661417322836,0.24934383202099736,0.28608923884514437,85830,85955
KPC beta-lactamase,-0.0027303754266211734,8.376780128479005,0.08532423208191126,30.187713310580207,31200.070500000005,0.2935153583617748,0.23890784982935154,0.32081911262798635,47900,48025
IMP beta-lactamase,-0.1634146341463415,8.51867504119873,0.0975609756097561,28.247195121951208,27179.906100000015,0.3414634146341463,0.26016260162601623,0.22764227642276424,48930,49180
CMY beta-lactamase,-0.12565445026178024,8.77564601898193,0.08638743455497383,39.4287958115183,40824.97830000002,0.28272251308900526,0.2696335078534031,0.3010471204188482,54320,54320
ACT beta-lactamase,-0.10997375328083987,8.98561954498291,0.09448818897637795,33.434409448818876,41571.47210000003,0.3044619422572179,0.24671916010498685,0.2755905511811023,82850,82975
CTX-M beta-lactamase,-0.1336769759450171,9.270827674865721,0.048109965635738834,22.687628865979374,30951.00610000002,0.2542955326460481,0.21993127147766323,0.30927835051546393,25440,25565
CTX-M beta-lactamase,-0.15463917525773202,9.490600395202637,0.048109965635738834,26.35154639175257,31071.172800000008,0.2646048109965636,0.23024054982817868,0.302405498281787,25440,25440
quinolone resistance protein (qnr),-0.16371681415929218,5.274965476989746,0.11504424778761063,16.670840707964597,25171.2244,0.28761061946902655,0.23451327433628316,0.26106194690265483,29450,29950
resistance-nodulation-cell division (RND) antibiotic efflux pump,-0.5136363636363641,9.662795448303225,0.045454545454545456,56.54285714285714,17299.583799999986,0.24675324675324675,0.1883116883116883,0.2857142857142857,11460,11585
major facilitator superfamily (MFS) antibiotic efflux pump,-0.12172131147540986,6.847984504699707,0.06147540983606557,39.26682377049178,53452.5197000001,0.2930327868852459,0.19672131147540983,0.34426229508196726,46870,46995
CMY beta-lactamase,-0.16771653543307097,9.040224266052245,0.09973753280839895,35.80999999999998,42076.89350000003,0.3123359580052493,0.23884514435695536,0.27821522309711283,95340,95465
SHV beta-lactamase,-0.04055944055944053,8.48992214202881,0.045454545454545456,37.52867132867133,31165.61330000003,0.2867132867132867,0.2027972027972028,0.33916083916083917,33460,33585
quinolone resistance protein (qnr),-0.15700934579439257,4.998273277282714,0.11682242990654204,18.908457943925224,23924.706499999997,0.29439252336448596,0.23364485981308408,0.2523364485981308,27960,28460
quinolone resistance protein (qnr),-0.27706422018348664,5.232336235046386,0.11467889908256881,37.258256880733946,24792.5598,0.28899082568807344,0.2018348623853211,0.25688073394495414,25440,26190
CMY beta-lactamase,-0.1803149606299214,9.149627113342287,0.09711286089238845,33.36931758530182,41990.76780000002,0.30708661417322836,0.23622047244094485,0.2755905511811024,93850,93975
CMY beta-lactamase,-0.14881889763779524,8.933786964416509,0.09711286089238845,37.40448818897636,41864.59990000003,0.30971128608923887,0.2388451443569554,0.27034120734908135,93850,93975
SHV beta-lactamase,-0.056293706293706225,7.756101036071779,0.04895104895104896,38.32517482517482,31271.69220000003,0.2867132867132867,0.19930069930069927,0.33916083916083917,33460,33585
quinolone resistance protein (qnr),-0.15280373831775695,5.117294120788574,0.11682242990654204,21.980887850467283,23837.629199999996,0.2897196261682243,0.24299065420560745,0.2616822429906542,27960,28460
SHV beta-lactamase,-0.05244755244755236,7.756101036071779,0.045454545454545456,36.733916083916085,31207.583800000033,0.2902097902097902,0.20279720279720279,0.3321678321678322,33460,33585
SHV beta-lactamase,-0.03811188811188802,8.476125907897952,0.04895104895104896,39.00034965034965,31201.642100000037,0.2867132867132867,0.1993006993006993,0.33916083916083917,33460,33585
SHV beta-lactamase,-0.06853146853146846,7.756101036071779,0.045454545454545456,40.25664335664335,31266.67410000003,0.2867132867132867,0.19930069930069927,0.3321678321678322,33460,33585
VIM beta-lactamase,0.014661654135338377,5.132470130920409,0.06015037593984962,36.45041353383458,28109.2065,0.3082706766917293,0.26691729323308266,0.2894736842105263,29910,29910
ACT beta-lactamase,-0.11181102362204723,8.99528980255127,0.09186351706036745,34.331259842519664,41570.53200000003,0.2992125984251968,0.24671916010498685,0.28346456692913385,82850,82975
IMP beta-lactamase,-0.15731707317073176,8.840436744689942,0.10569105691056911,28.666707317073158,27218.958700000017,0.34959349593495936,0.27235772357723576,0.23577235772357724,44920,45045
